Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,Release Year,YT_Likes,YT_Views
Juice WRLD,Life's A Mess (feat. Halsey),77.0,0.63,0.446,1.0,-8.9,1,0.0351,0.337,,0.166,0.177,143.078,202193.0,4,5,2020,"1,558,911","108,796,209"
Drake,Passionfruit,81.0,0.809,0.463,11.0,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235,4,9,2017,"2,747,230","410,329,826"
Post Malone,Motley Crew,90.0,0.797,0.631,3.0,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,3.07021667,4,9,2021,"1,283,651","113,586,161"
Olivia Rodrigo,good 4 u,99.0,0.563,0.664,9.0,-5.044,1,0.154,0.335,,0.0849,0.688,166.928,2.96911667,4,9,2021,"11,098,007","773,591,065"
Noah Cyrus,July,83.0,0.708,0.186,9.0,-8.953,0,0.042,0.868,,0.0779,0.322,72.541,156106.0,4,9,2019,"1,540,598","122,949,402"
The Weeknd,Save Your Tears,93.0,0.68,0.826,,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0,4,9,2020,"2,699,016","365,257,705"
The Lumineers,Ho Hey,75.0,0.682,0.471,,-9.182,1,0.0301,0.765,,0.0908,0.421,79.907,163133.0,4,9,2012,"2,847,630","370,952,126"
Black Pumas,Colors,66.0,0.546,0.696,4.0,-6.537,1,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,246587.0,4,10,2019,"2,585,653","291,742,629"
BTS,Butter,,0.759,0.459,8.0,-5.187,1,0.0948,0.00323,,0.0906,0.695,109.997,164442.0,4,9,2021,"27,744,989","1,175,755,478"
The Killers,Mr. Brightside,82.0,0.352,0.911,1.0,-5.23,1,0.0747,0.00121,,0.0995,0.236,148.033,222973.0,4,10,2004,"1,687,112","183,968,852"
21 Savage,Runnin,80.0,0.819,0.626,10.0,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906.0,4,5,2020,"1,851,789","155,865,473"
Lauv,I Like Me Better,83.0,0.752,0.505,9.0,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437.0,4,9,2017,"7,077,307","837,720,618"
Gotye,Somebody That I Used To Know,80.0,0.865,0.521,,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885.0,4,9,2011,"22,532,779","2,729,174,469"
Sam Hunt,Body Like A Back Road,75.0,0.732,0.458,5.0,-7.225,1,0.0311,0.447,,0.136,0.661,98.938,2.75645,4,4,2017,"1,528,388","340,287,969"
THE SCOTTS,THE SCOTTS,82.0,0.716,0.537,,-7.648,0,0.0514,0.233,,0.157,0.28,129.979,165978.0,4,9,2020,,
Young Stoner Life,Solid (feat. Drake),86.0,0.887,0.485,11.0,-9.358,0,0.2,0.0392,,0.141,0.328,125.987,215693.0,4,5,2021,"15,329","932,111"
